c,m,mean_xie_beni,mean_partition_coefficient,mean_modified_partition_coefficient,mean_partition_entropy,mean_pairwise_ari,mean_membership_change,centroid_variation,convergence_rate,mean_minimum_centroid_distance,minimum_centroid_distance,minimum_crisp_cluster_size,empty_crisp_clusters,score_xie_beni,score_centroid_distance,score_mpc,score_partition_entropy,score_pairwise_ari,score_membership_change,score_centroid_variation,score_convergence,score_empty_clusters,score_centroid_collision,hard_diagnostic_penalty,structure_score,fuzzy_quality_score,stability_score,diagnostic_score,rank_balanced,score_balanced,rank_validity_focused,score_validity_focused,rank_stability_focused,score_stability_focused,rank_fuzzy_quality_focused,score_fuzzy_quality_focused,selection_consistency_count,selection_consistency
2,1.5,0.5657825112697663,0.8064280213407466,0.6128560426814935,0.31094422204867156,1.0,1.5218995088423074e-07,9.457315708956623e-07,1.0,6.526421571240429,6.526421571240429,13,0,0.2631578947368421,0.0,0.10526315789473684,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.05263157894736842,0.05263157894736842,0.0,1,0.07894736842105263,1,0.09078947368421053,1,0.06710526315789474,1,0.07105263157894737,4,Top-3 in 4 of 4 weighting schemes
2,1.75,0.5621800357717257,0.7245880383816703,0.4491760767633406,0.4295421341385482,1.0,1.5647848693900092e-07,1.124464131743505e-06,1.0,5.77582890867601,5.77582890867601,15,0,0.21052631578947367,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.0,0.21052631578947367,0.05263157894736842,0.0,0.0,0.0,0.0,0.13157894736842105,0.13157894736842105,0.08771929824561403,0.0,2,0.10526315789473684,2,0.10964912280701755,2,0.09649122807017543,2,0.10964912280701754,4,Top-3 in 4 of 4 weighting schemes
2,2.0,0.5484732006494132,0.6604478339123072,0.32089566782461465,0.5138307722260338,1.0,1.6778751570644224e-07,1.262962811940525e-06,1.0,5.11964204324188,5.11964204324188,15,0,0.10526315789473684,0.10526315789473684,0.42105263157894735,0.15789473684210525,0.0,0.3157894736842105,0.10526315789473684,0.0,0.0,0.0,0.0,0.10526315789473684,0.2894736842105263,0.14035087719298245,0.0,3,0.14210526315789473,3,0.12938596491228072,3,0.13991228070175438,3,0.17543859649122806,4,Top-3 in 4 of 4 weighting schemes
2,2.25,0.5303199577397114,0.6137715428957067,0.22754308579141352,0.5702454437059049,1.0,1.9617284055432983e-07,1.5656924761419432e-06,1.0,4.535230516712643,4.535230516712643,15,0,0.05263157894736842,0.15789473684210525,0.5263157894736842,0.3157894736842105,0.0,0.42105263157894735,0.2631578947368421,0.0,0.0,0.0,0.0,0.10526315789473684,0.42105263157894735,0.22807017543859645,0.0,4,0.19473684210526315,4,0.16666666666666663,5,0.20350877192982453,5,0.24561403508771928,0,Top-3 in 0 of 4 weighting schemes
2,2.5,0.5089811230733167,0.5812262433267421,0.16245248665348416,0.6073809583744947,1.0,1.8138447493959796e-07,1.5575031294174212e-06,1.0,4.023674714706122,4.023674714706122,15,0,0.0,0.21052631578947367,0.6842105263157895,0.3684210526315789,0.0,0.3684210526315789,0.21052631578947367,0.0,0.0,0.0,0.0,0.10526315789473684,0.5263157894736842,0.1929824561403509,0.0,5,0.20526315789473684,5,0.17543859649122806,4,0.2017543859649123,6,0.2807017543859649,0,Top-3 in 0 of 4 weighting schemes
3,1.5,0.887363294008279,0.7340514053917749,0.6010771080876623,0.47874699870178905,1.0,1.61745844088868e-07,1.6440526565045848e-06,1.0,3.2386178695689956,3.2386178695689956,6,0,0.5263157894736842,0.3684210526315789,0.15789473684210525,0.10526315789473684,0.0,0.2631578947368421,0.3157894736842105,0.0,0.0,0.0,0.0,0.4473684210526315,0.13157894736842105,0.1929824561403509,0.0,6,0.26315789473684215,6,0.3043859649122807,7,0.22807017543859648,4,0.22543859649122805,0,Top-3 in 0 of 4 weighting schemes
3,1.75,0.8157896167050158,0.587123890676069,0.38068583601410355,0.716731008731906,1.0,1.445693807546815e-07,1.3594744738186886e-06,1.0,2.8846833762973567,2.8846833762973567,6,0,0.47368421052631576,0.42105263157894735,0.2631578947368421,0.42105263157894735,0.0,0.10526315789473684,0.15789473684210525,0.0,0.0,0.0,0.0,0.4473684210526315,0.3421052631578947,0.08771929824561403,0.0,7,0.27368421052631575,7,0.31491228070175437,6,0.2070175438596491,7,0.28859649122807013,0,Top-3 in 0 of 4 weighting schemes
5,1.5,0.555446806458412,0.725940808130968,0.6574260101637099,0.5606012343541911,0.9669667369710966,0.008955742481076672,0.37972032829200975,1.0,3.6501299801728577,3.6501299801728577,1,0,0.15789473684210525,0.3157894736842105,0.0,0.2631578947368421,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.0,0.0,0.0,0.0,0.23684210526315788,0.13157894736842105,0.8947368421052632,0.0,8,0.3894736842105263,8,0.32894736842105265,13,0.5263157894736842,8,0.3026315789473684,0,Top-3 in 0 of 4 weighting schemes
3,2.0,0.7220018496463769,0.48934028471674623,0.23401042707511946,0.8680333599665087,1.0,4.580133317316662e-06,6.859346553580905e-05,1.0,2.5786085832240193,2.5786085832240193,9,0,0.3684210526315789,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.0,0.6842105263157895,0.631578947368421,0.0,0.0,0.0,0.0,0.42105263157894735,0.47368421052631576,0.4385964912280702,0.0,9,0.39473684210526316,10,0.39035087719298245,9,0.3956140350877193,10,0.4035087719298246,0,Top-3 in 0 of 4 weighting schemes
4,1.5,0.6391560804732219,0.7184060919049229,0.6245414558732303,0.552772945115425,0.8746511870831033,0.03604946103669992,0.7368317494113151,1.0,3.755619463305313,3.755619463305313,2,0,0.3157894736842105,0.2631578947368421,0.05263157894736842,0.21052631578947367,0.9473684210526315,0.9473684210526315,1.0,0.0,0.0,0.0,0.0,0.2894736842105263,0.13157894736842105,0.9649122807017543,0.0,10,0.43157894736842106,9,0.37192982456140355,17,0.5745614035087719,9,0.33245614035087717,0,Top-3 in 0 of 4 weighting schemes
3,2.25,0.778663146960998,0.42939789573026604,0.14409684359539893,0.9574742942332517,1.0,4.449164645544034e-06,7.082337082255282e-05,1.0,1.859895040724913,1.859895040724913,9,0,0.42105263157894735,0.5789473684210527,0.7368421052631579,0.5789473684210527,0.0,0.631578947368421,0.6842105263157895,0.0,0.0,0.0,0.0,0.5,0.6578947368421053,0.4385964912280702,0.0,11,0.46315789473684216,11,0.4614035087719298,12,0.4429824561403509,12,0.5008771929824563,0,Top-3 in 0 of 4 weighting schemes
5,1.75,1.7178940235839697,0.4716338372114565,0.33954229651432055,1.0372219104263014,1.0,2.356579831711082e-07,3.2278776949442747e-06,1.0,0.8954540110878909,0.8954540110878909,4,0,0.6842105263157895,0.6842105263157895,0.3157894736842105,0.6842105263157895,0.0,0.5263157894736842,0.47368421052631576,0.0,0.0,0.0,0.0,0.6842105263157895,0.5,0.3333333333333333,0.0,12,0.4736842105263158,12,0.5179824561403509,11,0.41271929824561404,11,0.47192982456140353,0,Top-3 in 0 of 4 weighting schemes
5,2.0,2.0798896586654294,0.3661302988617975,0.20766287357724691,1.247046033491591,1.0,1.2039134526929561e-07,2.4407474074220383e-06,1.0,0.5257726974742261,0.5257726974742261,4,0,0.7368421052631579,0.7368421052631579,0.5789473684210527,0.8421052631578947,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.7368421052631579,0.7105263157894737,0.14035087719298245,0.0,13,0.4789473684210526,13,0.5399122807017543,8,0.36096491228070177,13,0.5333333333333333,0,Top-3 in 0 of 4 weighting schemes
3,2.5,0.9453674374859103,0.3943123480592852,0.09146852208892785,1.0092240649537099,1.0,7.065699692300311e-06,0.00012468245430867917,1.0,1.18082946502768,1.18082946502768,9,0,0.5789473684210527,0.631578947368421,0.8421052631578947,0.631578947368421,0.0,0.8421052631578947,0.8421052631578947,0.0,0.0,0.0,0.0,0.6052631578947368,0.7368421052631579,0.5614035087719298,0.0,14,0.5578947368421052,14,0.5557017543859649,15,0.5425438596491228,15,0.5885964912280701,0,Top-3 in 0 of 4 weighting schemes
4,2.25,169453.625719009,0.32429543424907603,0.09906057899876804,1.2345940194688114,1.0,1.318543948643476e-07,1.65497944185586e-06,1.0,5.93773887026404e-06,5.93773887026404e-06,7,0,0.8947368421052632,0.8947368421052632,0.7894736842105263,0.7894736842105263,0.0,0.05263157894736842,0.3684210526315789,0.0,0.0,0.0,0.0,0.8947368421052632,0.7894736842105263,0.14035087719298245,0.0,15,0.5578947368421053,16,0.6385964912280703,10,0.41228070175438597,16,0.612280701754386,0,Top-3 in 0 of 4 weighting schemes
4,2.0,3.8921732821389172,0.3740876045162157,0.16545013935495417,1.1424142724526916,1.0,5.778744104306013e-06,0.00012172805600003246,1.0,0.35682028833949275,0.35682028833949275,6,0,0.7894736842105263,0.7894736842105263,0.631578947368421,0.7368421052631579,0.0,0.7894736842105263,0.7894736842105263,0.0,0.0,0.0,0.0,0.7894736842105263,0.6842105263157894,0.5263157894736842,0.0,16,0.6105263157894737,17,0.6421052631578947,16,0.5631578947368421,17,0.6157894736842104,0,Top-3 in 0 of 4 weighting schemes
4,1.75,1.389521057520662,0.5014518136928687,0.335269084923825,0.9272336330804365,0.7225427991854043,0.05826528550728483,0.6969432926227099,1.0,1.8601396817155684,1.8601396817155684,4,0,0.631578947368421,0.5263157894736842,0.3684210526315789,0.5263157894736842,1.0,1.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.5789473684210527,0.4473684210526315,0.9824561403508771,0.0,17,0.6157894736842104,15,0.5820175438596491,20,0.7030701754385964,14,0.5491228070175439,0,Top-3 in 0 of 4 weighting schemes
4,2.5,34262483.42707719,0.30003313283560823,0.06671084378081102,1.2841785343053123,1.0,2.085171422647123e-07,3.6544252364249143e-06,1.0,2.1140753746576025e-08,2.1140753746576025e-08,7,0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8947368421052632,0.0,0.47368421052631576,0.5263157894736842,0.0,0.0,0.0,0.0,0.9473684210526315,0.9210526315789473,0.3333333333333333,0.0,18,0.6631578947368422,19,0.7258771929824561,14,0.5416666666666666,19,0.7192982456140351,0,Top-3 in 0 of 4 weighting schemes
5,2.25,9.61415712941126,0.27086189567719454,0.08857736959649318,1.4409415791185411,1.0,5.503847809467584e-06,0.0001004355766537871,1.0,0.07898565125250087,0.07898565125250087,4,0,0.8421052631578947,0.8421052631578947,0.8947368421052632,0.9473684210526315,0.0,0.7368421052631579,0.7368421052631579,0.0,0.0,0.0,0.0,0.8421052631578947,0.9210526315789473,0.49122807017543857,0.0,19,0.6684210526315789,18,0.6995614035087718,19,0.5942982456140351,18,0.7192982456140351,0,Top-3 in 0 of 4 weighting schemes
5,2.5,inf,0.2466918426058152,0.058364803257269025,1.4970040716109256,1.0,1.1235079583540017e-06,2.5303807580433615e-05,1.0,1.1618299206652802e-09,1.1618299206652802e-09,5,0,1.0,1.0,1.0,1.0,0.0,0.5789473684210527,0.5789473684210527,0.0,0.0,0.0,0.0,1.0,1.0,0.3859649122807018,0.0,20,0.7157894736842105,20,0.7771929824561404,18,0.5929824561403509,20,0.7771929824561403,0,Top-3 in 0 of 4 weighting schemes
